;Okay, I get the picture. Sarah, tell me about yourself. ;9;;;
;Great. In that case, I'll let you get back to it. I have to go. ;17;;;
7;My people? You're the captain, they're YOUR people, heh. *Sarah smiles.* YOUR people can fix things. Or not. Well, basically, the engineering staff is responsible for the ship's normal operations, and for the technical aspect of planetary explorations. Procuring samples and all that. Should anything happen, they can fight against the enemy, but you're better off letting the soldiers deal with that, of course. Heh. You know, I get a gigantic grin every time I imagine our Garrus with a sniper rifle. Garrus, with a gun! Hahaha! ;;;;
;What's wrong with Garrus?;8;;;
8;He likes cats. And he's very quiet. Nevermind. ;;;;
;The hyper systems?;4;;;
;I'd like to listen about the guns.;6;;;
;Yeah, let's talk about your staff. What can your people do? ;7;;;
;Okay, I get the picture. Sarah, tell me about yourself. ;9;;;
;Great. In that case, I'll let you get back to it. I have to go. ;17;;;
9;Huh? That was unexpected. You can, uh... come in. *You have just gotten to her office, and Sarah opens the door. The office is medium-sized, there is a flag of Israel hanging from the wall. Directly below it is a photograph of a big family. The family really is big, you can't even find Sarah among the eleven children. Otherwise, nothing tells you that the office belongs to a woman.* What are you looking at, Captain? ;;;;
;I see you're from Israel.;10;;;
;You had a big family.;12;;;
;How did you end up on the Aurora, Sarah?;15;;;
;Nothing. You know, I have to go. I have some things to do. ;17;;;
10;Yep. *Sarah nods, you can clearly hear pride in her voice.* One of the last independent states on the planet. ;;;;
;And by the dependent ones you obviously mean the three unions. ;11;;;
11;*Sarah looks at her shoes and blushes.* Well… that's not what I wanted to say. I just liked feeling like someone in particular, not another screw in a huge mechanism. ;;;;
;You had a big family.;12;;;
;How did you end up on the Aurora, Sarah?;15;;;
;Nothing. You know, I have to go. I have some things to do. ;17;;;
12;Dad, Mom, five brothers and five sisters. I'm the sixth. Well, have you found me yet? Maybe you should look for some distinguishing mark? ;;;;
;Like a broken nose?;13;;;
13;Hah! You're very observant, Cap. *Sarah shakes her head.* But no, I broke my nose in the army. I fell asleep atop some armor and fell down. ;;;;
;The army? I knew even girls served in Israel, but…;14;;;
14;*She shrugs indiffirently in response.* As if that's a bad thing. ;;;;
;I see you're from Israel.;10;;;
;How did you end up on the Aurora, Sarah?;15;;;
;Nothing. You know, I have to go. I have some things to do. ;17;;;
15;Oh... *Suddenly, Sarah adopts a whining, almost childish tone, and starts to jabber.* Caaaap! I don't like talking about that. The army, the university, the Academy of Sciences, a bunch of patents for the MoD, and here I am. All you have to know is that I'm a great engineer. If you want details, take a look at my dossier. ;;;;
;Too bad. I'd like to hear about it.;16;;;
16;How about some other time?;;;;
;I see you're from Israel.;10;;;
;You had a big family.;12;;;
;Nothing. You know, I have to go. I have some things to do. ;17;;;
17;So soon? Too bad. I wanted to discuss something, but… *Sarah looks disappointed* …but the Captain is very busy, of course. ;;;;
;What's wrong?;18;;;
18;Weeell… I'm not happy with the standard officer's ration. ;;;;
;What about it?;19;;;
19;The ration makes me... *she looks embarrassed* well... *she blushes* well, it makes my stomach ache! There. And they refuse to change the ration without your approval. They're saying that I'm asking for food from the special stock, but they're probably just being lazy. Like, if the medics let it pass, it means it's nothing serious, it'll do. ;;;;
;In that case, I have an idea. How about we have dinner together and talk it over? ;20;;;
;All right, officer Frontz, I will deal with this complaint. Good luck. ;-1;;-1;
20;Dinner together?;;;;
;Dinner together. Not right now, of course, we're both terribly busy at the moment, but a bit later... And you can have some food from the captain's ration while you're at it. They say it's pretty good. ;21;;;
21;"*Sarah looks at you playfully and smiles.* That's funny, Cap. They call that ""being a smooth operator,"" right? *Her smile widens.* Of course I'd like that.";;;;
;Great, then.;-1;;-1;engineer_dinner
