;[ДАЛЕЕ];15;;0
14;Вы потрясающе наивны, капитан. В политике нет места хорошему или плохому отношению. Выгодно то, что выгодно стране… Помолчите, кажется, он читает дальше.;earth_diplomat_dialog;;
;[ДАЛЕЕ];15;;0
15;*Клиск действительно зачитывает следующие положения договора: остальные участники обязуются соблюдать нейтралитет и не вмешиваться в войну до тех пор, пока не произойдет нарушение договора. Все инопланетяне дружно соглашаются. Джозеф, предвидевший такое развитие событий, тоже подписывает договор. Иное дело — посол зорсан. Он понимает, что деваться ему некуда, и тоже ставит подпись, но сразу после этого он уходит с совещания, явно недовольный произошедшим. Садовник говорит.* Мне очень жаль, что господин Урилэй проявил зорсанский национальный гонор... Тем не менее я рад, что договор принят всеми участниками этого совещания. Следующий вопрос — Галактический Кодекс. Современные международные отношения требуют соответствующего урегулирования. Однако все вы разные. И понять друг друга вам очень трудно, почти невозможно... Всех вас должен объединить Галактический Кодекс. Свод международных законов, обязательных к соблюдению каждым, кто путешествует в обитаемом вами пространстве... Полагаю, это будет лучше для всех вас. Полагаю... да. Я благодарен вам всем за то, что вы меня выслушали. Я очень рад... *Садовник замолкает. Видео на экране прерывается внезапной вспышкой, но затем возобновляется.*  Приветствую всех вас… Господин Урилэй.  Господин Грорра. Господин Фиршэ. Конечно же, рад приветствовать вас, Фшиир. И вы, мистер Райт. Как и вы, капитан людей. Я рад знать, что все вы находитесь тут.;;;
;Погодите-ка. Это что, была запись?!;16;;0
16;*Борк гневно взрыкивает. Его глаза наливаются дурной кровью. Видно, как трещит в хватке его рук кусок стола, в который он вцепился. Похоже, что он оскорблен. Остальные инопланетяне выглядят не лучше: они смущены, обескуражены. Посол бродяг даже испуган: на его лице написана крайняя степень неудомения. К тебе обращается Джозеф.* Капитан, что это было? Вы уже общались с этим существом прежде.;earth_diplomat_dialog;;
;Это была не трансляция, Джозеф. А запись. Каким-то образом он знал, что мы будем говорить, как мы будем говорить, как мы будем действовать, и записал все заранее. Но как?;17;;0
17;*Джозеф качает головой* Я не знаю, капитан. Не знаю. Прошу вас, давайте уйдем. Я хочу отдохнуть от всего этого… *Он обводит глазами залу совещаний. В ней сущий тарарам. Послы переговариваются между собой на повышенных тонах, борк машет руками и доказывает что-то клиску.*;earth_diplomat_dialog;;
;Действительно, лучше выйти.;18;;0
18;*И вы выходите словно бы из центра звезды: настолько прохладно в коридоре. Джозеф прислоняется спиной к стене и утирает платком пот со лба.* Похоже, что мне здесь будет очень интересно работать. Но и трудно. Если уж один из этих инопланетян способен на ТАКОЕ... что же могут делать остальные?;earth_diplomat_dialog;;
;Вы видели, Джозеф. Они тоже удивлены и обескуражены.;19;;0
19;Тем хуже. Если даже среди них этот садовник — нечто сверхъестественное и непонятное, то кто же он? *Джозеф качает головой. Из залы совещаний выходит майор Окрарр.* Вышли наружу? Понимаю. Это было внезапно и… я не могу понять, оскорблен ли я или же удивлен. Но не будем. Господин Джозеф, вы устали. Я прикажу проводить вас в ваши аппартаменты. Капитан людей, а с вами хотят поговорить послы. Все. Кроме зорсанского, конечно.;bork_vip_dialog;;
;Все сразу?;20;;0
20;*Борк смеется.* Конечно же нет. И не сейчас. Через час, когда каждый из них вернется к своему рабочему месту, будьте добры, посетите каждого из них. Вас пропустят без очереди. Это очень важно, капитан людей. Это касается нескольких очень щекотливых дел... и Опустошителя.;bork_vip_dialog;;
;Опустошителя? Ох. В таком случае я, конечно, буду.;21;;0
21;*Кивнув, борк уходит с Джозефом. Ты остаешься один, лишь только в зале совещаний шумят послы, но сейчас тебе там делать нечего. Если уж и есть час свободного времени, лучше бы потратить его на отдых.*;interior_dialog;;
;Интересно, есть ли тут что-то типа кафе? Ну или буфета…;-1;;0
