22;Спасибо вам, капитан! *Родные Рича присоединяются к его благодарности. Сам он что-то говорит Мэтью. Тот, кивнув, знаком указывает идти за ним, он идёт в служебное крыло.* Вы уж простите нас, капитан. *Мэтью пожимает плечами.* Рич очень любит семью, действительно любит. Он скучал.;colony_leader_dialog;;;
;Всё в порядке. Куда мы идём?;23;;0;
21;*Чего ему стоит сохранять такую бесстрастность? Он поворачивается к своим родным. Его лица не видно, но почти наверняка он радостно улыбается.* Наш с вами капитан прав! Сначала дела - потом отдых… Мэтью проводит вас, подождёте меня в моих апартаментах. *Мэтью кивает и уходит, ведя за собой семью Рича.* Прошу в мой кабинет, капитан. Хотите говорить сейчас - будем говорить сейчас. *Рич идёт на второй этаж. Остаётся лишь следовать за ним.*;colony_leader_dialog;;;
;*Последовать за Ричем*;-1;;1;metropole_burden.instant
23;В крыло служебных квартир. *Мэтью усмехается.* У нас тут люди достаточно часто не могут вернуться домой, в каждом здании есть места, где они могут заночевать и переждать непогоду. *Это служебное крыло напоминает казарму, пусть и выглядит попрезентабельнее. Да, здесь не стоят штабеля двухярусных кроватей, но череда дешёвых дверей тоже навевает уныние.* Одна из лучших комнат для вас, капитан. *Мэтью останавливается перед одной из дверей и открывает её ключом.* Можно сказать, люкс, хах. У нас тут телевидение, инфосеть... это как интернет, только гораздо мельче. Отдыхайте. Утром за вами зайдут.;;;;
;А мои люди?;24;;0;
;Спасибо, Мэтью.;25;;0;
24;Их я тоже устрою. *Мэтью кивает.*;;;;
;Спасибо, Мэтью.;25;;0;
25;Конечно. Приятного отдыха. *Уводя за собой твоих пилотов, Мэтью уходит дальше по коридору. Остаётся только войти в комнату… что же, могло быть и хуже, так?  Впрочем, если это - люкс, то каковы же другие комнаты? Комната небольшая, выглядящая меньше, чем она есть, из-за плохой компоновки мебели. У окна стоит армейская койка, накрытая армейским же одеялом. Рядом с кроватью - тумбочка, на которой стоит будильник, а рядом с тумбочкой - стол, на котором установлен компьютер, пока что выключенный. Всё это не считая холодильника и шкафа с книгами. Из комнаты есть проход к ванной и туалету.*;;;;
;*окно*;26;;0;
;*шкаф с книгами*;27;;0;
;*холодильник*;28;;0;
;*ванна и туалет*;29;;0;
;*компьютер*;30;;0;
;*лечь спать*;45;;0;
26;*Буря немного поутихла, но снаружи всё словно бы в тумане: сильный ветер носит туда и сюда струи песка. Ничего не видно.*;pc_dialog;;;
;*шкаф с книгами*;27;;0;
;*холодильник*;28;;0;
;*ванна и туалет*;29;;0;
;*компьютер*;30;;0;
;*лечь спать*;45;;0;
27;"*В основном низкокачественный научпоп, причём достаточно старый. Ты берёшь и листаешь одну из книг: ""Наука - это замечательно! А если вы так не считаете, то можете идти на…"", страницу переворачивать не хочется. Мда.*";pc_dialog;;;
;*окно*;26;;0;
;*холодильник*;28;;0;
;*ванна и туалет*;29;;0;
;*компьютер*;30;;0;
;*лечь спать*;45;;0;
28;*Холодильник забит прикетами легкоусвояемого протеина и минеральной водой. Один лишь взгляд на это напрочь убивает любое чувство голода.*;pc_dialog;;;
;*окно*;26;;0;
;*шкаф с книгами*;27;;0;
;*ванна и туалет*;29;;0;
;*компьютер*;30;;0;
;*лечь спать*;45;;0;
29;*То, что нужно, после песчаной бури! Пожалуй, лучшая часть этой квартиры.*;pc_dialog;;;
;*окно*;26;;0;
;*шкаф с книгами*;27;;0;
;*холодильник*;28;;0;
;*компьютер*;30;;0;
;*лечь спать*;45;;0;
30;*Компьютер тут неплохой, одна из новых моделей, включается быстро. Стандартная рабочая машинка, где нет ничего интересного, кроме возможности выйти в местный интернет и… о. Что это? Похоже, что в здании ратуши общая локальная сеть. Любой человек может войти в свой рабочий профиль воспользовавшись любым компьютером в здании. Главное - знать пароль.*;pc_dialog;;;
;*инфосеть*;31;;0;
;*рабочие профили*;37;;0;
;[НАЗАД];44;;0;
45;*Неплохое решение. Даже героям нужен отдых. Однако, незавершённые дела так и останутся незавершёнными.*;pc_dialog;;;
;Вроде бы я всё сделал. Можно отдохнуть.;-1;;0;
;Кажется, пока рано. Чем ещё заняться…;44;;0;
31;"*Новостные сводки: ""Осторожно! У тигриного жукина начинается брачный сезон!"", ""Песчаные бури ожидаются ещё в течение двух недель"", ""Как научить ребёнка перезаряжать боркский лазерган?"", ""Отпуск на Земле: не слишком ли дорого?""*";pc_dialog;;;
;Осторожно! У тигриного жукина начинается брачный сезон!;32;;0;
;Песчаные бури ожидаются ещё в течение двух недель;33;;0;
;Как научить ребёнка перезаряжать боркский лазерган?;34;;0;
;Отпуск на Земле: не слишком ли дорого?;35;;0;
;*выход из инфосети*;36;;0;
37;*Открывается список рабочих профилей персонала ратуши. Сколько имён.*;pc_dialog;;;
;Бобби Кервантес;38;;0;
;Ждислав Гойк;38;;0;
;Лукас Кейзи;38;;0;
;Мэтью Виллкс;39;;0;metropole_burden.matthew_surname
;Белла Роуз;38;;0;
;Кортни Дилли;38;;0;
;Ремингтон Бехренс;38;;0;
;Рич Донахью;40;;0;
;Роджер Вилко;43;;0;
;*выход из рабочих профилей*;36;;0;
44;*Это по-прежнему среднего уюта номер для персонала. Всё на своих местах.*;pc_dialog;;;
;*окно*;26;;0;
;*шкаф с книгами*;27;;0;
;*холодильник*;28;;0;
;*ванна и туалет*;29;;0;
;*компьютер*;30;;0;
;*лечь спать*;45;;0;
32;*Ты мельком проглядываешь статью. Какое-то официальное предупреждение о том, что у местного активного хищника начался брачный сезон. Похоже, что эта тварюшка способна… ого… ОГО-ГО! Ну надо же! Прочитанное тебя неимоверно поражает. Ты зарекаешься выходить за пределы колонии, пока у тигриного жукина идёт брачный сезон.*;pc_dialog;;;
;Песчаные бури ожидаются ещё в течение двух недель;33;;0;
;Как научить ребёнка перезаряжать боркский лазерган?;34;;0;
;Отпуск на Земле: не слишком ли дорого?;35;;0;
;*выход из инфосети*;36;;0;
33;*Ты мельком проглядываешь статью. Песчаные бури бла-бла-бла, будьте осторожны бла-бла-бла, и пожалуйста, не ешьте песок, он невкусный.*;pc_dialog;;;
;Осторожно! У тигриного жукина начинается брачный сезон!;32;;0;
;Как научить ребёнка перезаряжать боркский лазерган?;34;;0;
;Отпуск на Земле: не слишком ли дорого?;35;;0;
;*выход из инфосети*;36;;0;
34;*Ты мельком проглядываешь статью. Интересно, зачем ребёнку перезаряжать боркский лазерган? Он же тяжёлый и неудобный - у борков плохо получается делать лазерное оружие. Впрочем, в статье примерно так и сказано. В конце автор резюмирует, говоря, что если вы даёте лазерган в руки ребёнку - то вы плохой родитель и вам должно быть стыдно. Золотые слова.*;pc_dialog;;;
;Осторожно! У тигриного жукина начинается брачный сезон!;32;;0;
;Песчаные бури ожидаются ещё в течение двух недель;33;;0;
;Отпуск на Земле: не слишком ли дорого?;35;;0;
;*выход из инфосети*;36;;0;
35;*Ты мельком проглядываешь статью. А вот это интересно. Похоже, что цены на путешествие к Земле здесь таковы, что колонистам совершенно не выгодно туда лететь. Похоже, что почти никто из колонистов, оказавшихся или родившихся тут, так и не возвращался назад, на Землю, за свой счёт.*;pc_dialog;;;
;Осторожно! У тигриного жукина начинается брачный сезон!;32;;0;metropole_burden.travel_price
;Песчаные бури ожидаются ещё в течение двух недель;33;;0;metropole_burden.travel_price
;Как научить ребёнка перезаряжать боркский лазерган?;34;;0;metropole_burden.travel_price
;*выход из инфосети*;36;;0;metropole_burden.travel_price
36;*Готово.*;pc_dialog;;;
;*инфосеть*;31;;0;
;*рабочие профили*;37;;0;
;[НАЗАД];44;;0;
38;*[ПРОФИЛЬ УЖЕ ИСПОЛЬЗУЕТСЯ]. Понятно. Значит в него не зайти.*;pc_dialog;;;
;Бобби Кервантес;38;;0;
;Ждислав Гойк;38;;0;
;Лукас Кейзи;38;;0;
;Мэтью Виллкс;39;;0;metropole_burden.matthew_surname
;Белла Роуз;38;;0;
;Кортни Дилли;38;;0;
;Ремингтон Бехренс;38;;0;
;Рич Донахью;40;;0;
;Роджер Вилко;43;;0;
;*выход из рабочих профилей*;36;;0;
39;*[ОШИБКА. Прим.адм.: я не могу удалять профили. Серьёзно. Хватит меня об этом просить. Ждите следующего форматирования системы, вот и всё. Пока что этот пустой профиль будет висеть здесь.] Похоже, что этот профиль пытались удалить. Почему?*;pc_dialog;;;
;Бобби Кервантес;38;;0;
;Ждислав Гойк;38;;0;
;Лукас Кейзи;38;;0;
;Мэтью Виллкс;39;;0;metropole_burden.matthew_surname
;Белла Роуз;38;;0;
;Кортни Дилли;38;;0;
;Ремингтон Бехренс;38;;0;
;Рич Донахью;40;;0;
;Роджер Вилко;43;;0;
;*выход из рабочих профилей*;36;;0;
40;*Логин: Рич Донахью. Пароль:*;pc_dialog;;;
;*ввести паролль*;-1;;2;
;*выход к списку профилей*;37;;0;
43;"[ОШИБКА. Прим.адм.: очень смешно! Вы же знаете, что я не могу просто так удалить отсюда пользовательский профиль! Как дети! Да что это за имя такое вообще Роджер Вилко""?""";pc_dialog;;;
;Бобби Кервантес;38;;0;metropole_burden.documents_found
;Ждислав Гойк;38;;0;
;Лукас Кейзи;38;;0;
;Мэтью Виллкс;39;;0;metropole_burden.matthew_surname
;Белла Роуз;38;;0;
;Кортни Дилли;38;;0;
;Ремингтон Бехренс;38;;0;
;Рич Донахью;40;!metropole_burden.leader_profile_logged;0;
;Рич Донахью;46;metropole_burden.leader_profile_logged;0;
;Роджер Вилко;43;;0;
;*выход из рабочих профилей*;36;;0;
46;*ДОБРЫЙ ДЕНЬ, МИСТЕР ДОНАХЬЮ!*;pc_dialog;;;
;*К профилю*;41;;0;metropole_burden.leader_profile_logged
41;*Да, это было очевидно. Особенно сейчас - на рабочем столе Донахью фотография его жены и дочери. Что же… В рабочем профиле, что было закономерно, только рабочие файлы. В основном это скучные отчёты, их много: от описывающих результаты добычи урановой и иных ценных руд, до регулирования маршрутов уборки улиц.*;pc_dialog;;;
;Хм. А это что ещё такое?;42;;0;
42;*Ты что-то нашёл. В небольшом текстовом файле - маленькая таблица, где с какой-то бесшабашной простотой и точностью указано то, сколько каких обработанных ресурсов было продано инопланетянам. Иногда они рассчитывались кредитами. Иногда - техникой, но не указано какой конкретно. Интересные данные.*;pc_dialog;;;
;Нужно их запомнить. Ладно, здесь я закончил.;37;;0;
