0;*На вызов долго не отвечают. Потом, всё-таки… Эй, это ребёнок! Маленькая девочка сидит на стуле так, что видно только верхнюю часть её головы. Интересно, как она смогла дотянуться и принять вызов?* Это кто?! *Говорит девочка излишне громко, с надрывом.*;;
;Не знаю, поймёте ли вы меня, но меня это никак не сковывает и не угнетает. Никогда не ощущал себя более свободным.;11;;0;;
15;Не очень. Мы никогда долго на одном месте не жили. *Она пожимает плечами.* Мой муж всё время нашего брака работал на "Аврору", мы очень часто переезжали с места на место. Так что, ни я, ни Джоди ни по чему особо не скучаем.;;
;Много переезжали? А кем работал ваш муж?;16;;0;;
;Не скучаете? А как же друзья или знакомые?;17;;0;;
;Но в колонии вам придётся остаться надолго. Может даже навсегда.;18;;0;;
;Понятно. Надеюсь, вам понравится на другой планете.;19;;0;;
20;Да. Ребёнок она непоседливый, поэтому мы попытались занять её чем-нибудь. *Женщина смеётся.* Хобби нашлось, но менее непоседливой она быть не перестала… А что касается мелодии - какая-то старая песня. Только её Джоди играет хорошо и без ошибок. Я не  помню точно, что это за мелодия... Это муженёк мой в молодости слушал. Что-то связанное с охотой на быков и реками из яда.;;
;Как протекает полёт? Всё в порядке?;4;;0;;
;Как вам Аврора-2?;8;;0;;
;Не скучаете по Земле?;15;;0;;
;Ладно. Я надеюсь, вам понравится полёт. Приятного отдыха, мэм.;21;;0;;
21;Син. *Женщина улыбается.* Нас так и не представили. Меня зовут Син.;;
;Что же, в таком случае - приятно было познакомиться.;22;;0;;
5;Отлично. Мне казалось, что мы  будем лететь как-то быстрее, что ли. Однако, я уже привыкла!;;
;Как вам Аврора-2?;8;;0;;
;Не скучаете по Земле?;15;;0;;
;Ваша дочь действительно хорошо играет на гитаре. Правда, мелодия детской не кажется.;20;;0;;
;Ладно. Я надеюсь, вам понравится полёт. Приятного отдыха, мэм.;21;;0;;
6;Станция "Единство"? *Женщина всей мимикой лица выражает недоумение.*;;
;Станция, на которой будут находиться посольства всех развитых народов нашей части космоса, мэм. ;7;;0;;
9;Вот-вот. Но Джоди здесь нравится, и как же я могу позволить себе бояться? Приходится держать лицо… Однако, капитан… Мне говорили о безопасности, не отрицали того, что на корабль могут напасть. Это правда?;;
;Буду честен. Могут.;12;;0;;
;Что вы - это просто слухи. Мы далеко от зоны боевых действий, всё в порядке.;13;;0;;
;Не бойтесь. Нет ничего непоправимого. Даже в нападении.;14;;0;;
10;Ничуть не удивлена, капитан. Вы похожи на мою дочь - она тоже легко адаптировалась к жизни на корабле… я пытаюсь поспевать за ней. Однако, я все хотела спросить, но… *Женщина понижает голос и говорит заметно тише.* Мне говорили, что на корабль могут напасть! Это правда?;;
;Буду честен. Могут.;12;;0;;
;Что вы - это просто слухи. Мы далеко от зоны боевых действий, всё в порядке.;13;;0;;
;Не бойтесь. Нет ничего непоправимого. Даже в нападении.;14;;0;;
11;*Женщина кривит губы и тут же притворно кашляет, скрывая улыбку.* Простите, я… не знаю… пыль. Я вас поняла. Я хотела спросить, капитан… *Она наклоняется к камере поближе и говорит почти шёпотом.* Правда ли, что на нас могут напасть?!;;
;Буду честен. Могут.;12;;0;;
;Что вы - это просто слухи. Мы далеко от зоны боевых действий, всё в порядке.;13;;0;;
;Не бойтесь. Нет ничего непоправимого. Даже в нападении.;14;;0;;
16;Образование у него научное, но его должность - управляющий менеджер высшего звена. Ничего конкретного - просто работа с кадрами.;;
;Не скучаете? А как же друзья или знакомые?;17;;0;;
;Но в колонии вам придётся остаться надолго. Может даже навсегда.;18;;0;;
;Понятно. Надеюсь, вам понравится на другой планете.;19;;0;;
17;У нас их не было. И это плохо. *Она кивает и выглядит немного грустной.* Я - взрослая женщина, могу с этим жить. Но каково было Джоди - без настоящих-то друзей? Однако, даже в этом есть свои плюсы, как я сейчас вижу. Уму непостижимо, что я такие вещи говорю.;;
;Много переезжали? А кем работал ваш муж?;16;;0;;
;Но в колонии вам придётся остаться надолго. Может даже навсегда.;18;;0;;
;Понятно. Надеюсь, вам понравится на другой планете.;19;;0;;
18;Это даже к лучшему. Мы наконец-то сможем осесть на одном месте. Джоди найдёт друзей, да и… путешествие на другую планету - увлекательное приключение для ребёнка, разве не так? Что касается меня - я тоже… я привыкну. Я же уже говорила.;;
;Много переезжали? А кем работал ваш муж?;16;;0;;
;Не скучаете? А как же друзья или знакомые?;17;;0;;
;Понятно. Надеюсь, вам понравится на другой планете.;19;;0;;
19;Да, я тоже на это надеюсь. Спасибо, капитан.;;
;Как протекает полёт? Всё в порядке?;4;;0;;
;Как вам Аврора-2?;8;;0;;
;Ваша дочь действительно хорошо играет на гитаре. Правда, мелодия детской не кажется.;20;;0;;
;Было приятно поговорить. Надеюсь, вам понравится полёт. Приятного отдыха.;21;;0;;
22;Мне тоже, капитан. *Ещё раз улыбнувшись, женщина отключает видеосвязь.*;;
;Да. Почему-то я забыл спросить её имя…;-1;;0;;
7;А, ясно. Что-то типа ООН, да? Думаю, это хорошо. Будет интересно на это посмотреть, капитан.;;
;Как вам Аврора-2?;8;;0;;
;Не скучаете по Земле?;15;;0;;
;Ваша дочь действительно хорошо играет на гитаре. Правда, мелодия детской не кажется.;20;;0;;
;Ладно. Я надеюсь, вам понравится полёт. Приятного отдыха, мэм.;21;;0;;
12;*Она слегка закусывает губу и кивает.* Хорошо. Спасибо за предупреждение.;;
;Как протекает полёт? Всё в порядке?;4;;0;;
;Не скучаете по Земле?;15;;0;;
;Ваша дочь действительно хорошо играет на гитаре. Правда, мелодия детской не кажется.;20;;0;;
;Ладно. Я надеюсь, вам понравится полёт. Приятного отдыха, мэм.;21;;0;;
13;Ффух! *Она облегчённо выдыхает.* Как камень с души! Всё-таки со мной дочь, и я так давно не видела мужа… было бы очень… так и не увидеть его… Кхм. Извините. *Женщина трёт кулаком глаз.*;;
;Как протекает полёт? Всё в порядке?;4;;0;;
;Не скучаете по Земле?;15;;0;;
;Ваша дочь действительно хорошо играет на гитаре. Правда, мелодия детской не кажется.;20;;0;;
;Ладно. Я надеюсь, вам понравится полёт. Приятного отдыха, мэм.;21;;0;;
14;*Она распахивает глаза в изумлении, но говорит по-прежнему тихо, не желая, видимо, беспокоить дочь.* Капитан, что вы такое говорите? Я понимаю, что вы - герой, но ведь вы… у вас тут люди! И даже дети! Как вы можете быть таким легкомысленным?! *Женщина покачивает головой и складывает руки крест-накрест на груди.*;;
;Как протекает полёт? Всё в порядке?;4;;0;;
;Не скучаете по Земле?;15;;0;;
;Ваша дочь действительно хорошо играет на гитаре. Правда, мелодия детской не кажется.;20;;0;;
;Было приятно поговорить. Надеюсь, вам понравится полёт. Приятного отдыха.;19;;0;;
