10;Все с точностью да наоборот. Все так! *борк с силой ударяет по столу, тот скрипит* Вы очень хорошо проявили себя. Не вступали в конфликт до последнего, но когда он стал неизбежен - то поступили решительно, хотя не стали доводить дело до плохого конца. Это по нашему. Любой борк станет вас уважать, после такого.;;;;;
;Господин Хрррака, если бы я был более нагл, то мог бы сказать, что эту ситуацию подстроили вы….;11;flag;;;
;В таком случае, что с вердиктом?;13;;;;
11;Кто знает? Кто я такой, чтобы вас разубеждать?;;;;;
;Значит, вот как? Кхм. Вы не отрицаете того, что с легкостью послали бы того несчастного на смерть? Я ведь мог его убить.;12;;;;
12;Ну так не убили же. Кроме того, это лишь ваши предположения. Я их не подтверждал. *Картар смотрит на тебя с выражением непробиваемой правоты на морде.*;;;;;
;Мда. Знаете…. А, ладно. Давайте вернемся к делам. Что вы решили?;13;;;;
13;Я бы не сказал, что на первых порах наше сотрудничество будет продуктивным. Все же, по развитию мы отличаемся очень сильно. Однако аналитическй отдел дал добро, и Совет Ветеранов одобрил их решение. Поздравляю вас. Борки почтут за честь сотрудичать с людьми.;;;;;
;Это замечательно.;14;;;;
14;Я тоже так считаю. Мы отправим к вам своего представителя через…. Неделю. Да. Неделю. Сопровождать его не надо, он сможет добраться сам. Будем с нетерпением готовиться к приему вашего посла.;;;;;
;Не могу обещать, что он прибудет сюда быстро.;15;;;;
15;У каждого свои недостатки. Что же, если у вас есть еще какие-либо дела - излагайте сейчас. Лучше покончить со всем сразу.;;;;;
;Нет, никаких дел у меня нет. Я рад, что все прошло так хорошо. До скорой встречи.;-1;;;;
;Есть кое-что. Моя планете находится в блокаде небольшого флота кораблей борков. Их лидер, некто Хрррака…. Стоп. Это же ваше имя.;16;bork_blockade.communicated;;;
;Я буду краток: зорсаны собираются напасть на мою планету. Любая помощь будет кстати.;22;zorsan.war_preparations;;;
16;Ага, мое. Так значит вот куда он отправился…. Маленький паскудник. *Картар хмурится*;;;;;
;Ваш сын?;17;;;;
17;Один из. Двоих вы уже видели, в космопорту и тут. Эти двое - близнецы. А Торнур  - так зовут моего старшенького, да - он у меня от бывшей жены. Единственный. Вы же знаете, что это значит?;;;;;
;Даже если бы и не знал, догадаться несложно - Торнур слегка неполноумен.;18;;;;
18;Неполноумен. Хорошее слово, но слишком мягкое, давайте говорить честно - Торнур туп, как пробка. Так что он сделал, помимо блокады?;;;;;
;"Пока ничего особенного. Досматривает корабли, и спускает их назад на планету. Он сказал, что наша система теперь его, цитирую: ""грабильня"". Так же, он сказал, что грабильню ему могут дать умные борки. Я так понял, он говорил о вас.";19;;;;
19;Грабильня? Мда. Мой старший сын - пират. Великолепно. Капитан, вы хотите, чтобы я отозвал его от вашей планеты? Я могу это сделать. Но это очень не понравится Торнуру. Может быть попробуете разобраться сами? Быть может, у вас это получится лучше, чем у меня.;;;;;
;Наверное вы правы. Мне только врагов среди пиратов еще не хватало….;20;;;;
;Нет, я не хочу затягивать. Отзовите его, сделайте что хотите. А там, если захочет поквитаться - я всегда буду к его услугам.;21;;;;bork_blockade.withdraw
20;Правильное решение. У вас что-то еще?;;;;;
;Я буду краток: зорсаны собираются напасть на мою планету. Любая помощь будет кстати.;22;zorsan.war_preparations;;;
;Нет, никаких дел у меня нет. Я рад, что все прошло так хорошо. До скорой встречи.;-1;;;;
21;Хорошо, я разберусь. У вас что-то еще?;;;;;
;Я буду краток: зорсаны собираются напасть на мою планету. Любая помощь будет кстати.;22;zorsan.war_preparations;;;
;Нет, никаких дел у меня нет. Я рад, что все прошло так хорошо. До скорой встречи.;-1;;;;
22;Хм…. Ситуация сложная, и обещать я ничего не могу. Я вынесу этот вопрос на обсуждение Советом Ветеранов - перешлите мне все необходимые данные.  К сожалению, следующее заседание только через два  месяца, и изменить дату никак нельзя.;;;;;
;Долго! Но… хорошо. Искренне надеюсь, что вы нам поможете.;23;;;;
23;Я тоже на это надеюсь, поверьте мне. У вас что-то еще?;;;;;
;Нет, никаких дел у меня нет. Я рад, что все прошло так хорошо. До скорой встречи.;-1;;;;
